Tue May 18 10:13:58 GMT-06:00 2010,,72,60,55,11111,,1333451199,40589737,81179474,40589737,60729895,,2800228895,104881931,209763862,104881931,706063379,,2246246209,9325430,18650860,9325430,1912956481,,0,0,0,0,0,1215595,0,0,0,194876236,,50519427,0,0,0,3541156135,,0,0,0,0,0
Tue May 18 10:14:02 GMT-06:00 2010,,72,60,44,11111,,1333629827,40589737,81179474,40589737,183852698,,2800471390,104881931,209763862,104881931,851787757,,2246384680,9325430,18650860,9325430,2009729154,,0,0,0,0,0,1215595,0,0,0,194876236,,50519608,0,0,0,3541169510,,0,0,0,0,0
Tue May 18 10:16:59 GMT-06:00 2010,,72,60,33,11111,,1341143362,40589737,81179474,40589737,1227995478,,2809981694,104881931,209763862,104881931,2356855291,,2251532247,9325430,18650860,9325430,1256374271,,0,0,0,0,0,1215775,0,0,0,194905180,,50527685,0,0,0,3541771963,,0,0,0,0,0
Tue May 18 10:17:02 GMT-06:00 2010,,72,60,76,11111,,1341326602,40589737,81179474,40589737,1354474912,,2810256474,104881931,209763862,104881931,2538882267,,2251659630,9325430,18650860,9325430,1345298527,,0,0,0,0,0,1215775,0,0,0,194905180,,50527926,0,0,0,3541790349,,0,0,0,0,0
Tue May 18 10:19:59 GMT-06:00 2010,,72,60,37,11111,,1348608496,40608162,81216324,40608162,2111277851,,2819002597,104928220,209856440,104928220,3240946043,,2257016992,9325430,18650860,9325430,788415909,,0,0,0,0,0,1215955,0,0,0,194934120,,50535943,0,0,0,3542386638,,0,0,0,0,0
Tue May 18 10:20:03 GMT-06:00 2010,,72,60,37,11111,,1348794048,40608162,81216324,40608162,2241506132,,2819221722,104928220,209856440,104928220,3363001760,,2257156710,9325430,18650860,9325430,888655992,,0,0,0,0,0,1215955,0,0,0,194934120,,50536122,0,0,0,3542400147,,0,0,0,0,0
Tue May 18 10:22:59 GMT-06:00 2010,,72,61,44,11111,,1356093770,40608162,81216324,40608162,3006831566,,2829744289,104993682,209987364,104993682,1466526299,,2262492602,9325430,18650860,9325430,288570545,,0,0,0,0,0,1216135,0,0,0,194962992,,50544161,0,0,0,3543001225,,0,0,0,0,0
Tue May 18 10:23:03 GMT-06:00 2010,,72,61,42,11111,,1356282175,40608162,81216324,40608162,3137643544,,2830012466,104993682,209987364,104993682,1634186236,,2262636695,9325430,18650860,9325430,387566691,,0,0,0,0,0,1216145,0,0,0,194964596,,50544355,0,0,0,3543015773,,0,0,0,0,0
Tue May 18 10:25:59 GMT-06:00 2010,,72,60,93,11111,,1364029168,40615452,81230904,40615452,154113638,,2840945959,105073003,210146006,105073003,322561669,,2268047728,9325430,18650860,9325430,4193944125,,0,0,0,0,0,1216325,0,0,0,194993468,,50552522,0,0,0,3543628073,,0,0,0,0,0
Tue May 18 10:26:04 GMT-06:00 2010,,72,60,41,11111,,1364222941,40615452,81230904,40615452,295340801,,2841188059,105073003,210146006,105073003,463635107,,2268186390,9325430,18650860,9325430,4290413800,,0,0,0,0,0,1216335,0,0,0,194995072,,50552705,0,0,0,3543642393,,0,0,0,0,0
Tue May 18 10:29:00 GMT-06:00 2010,,72,60,98,11111,,1371782190,40615452,81230904,40615452,1407383911,,2851671425,105170824,210341648,105170824,2838851543,,2273638940,9325430,18650860,9325430,3848414347,,0,0,0,0,0,1216515,0,0,0,195023944,,50560991,0,0,0,3544272350,,0,0,0,0,0
Tue May 18 10:29:03 GMT-06:00 2010,,72,60,67,11111,,1371966785,40615452,81230904,40615452,1537205393,,2851961676,105170824,210341648,105170824,3026892437,,2273774590,9325430,18650860,9325430,3943740672,,0,0,0,0,0,1216525,0,0,0,195025548,,50561216,0,0,0,3544288436,,0,0,0,0,0
Tue May 18 10:31:59 GMT-06:00 2010,,72,60,44,11111,,1379336290,40629032,81258064,40629032,2578341579,,2861934371,105299661,210599322,105299661,600963732,,2278973733,9334198,18668396,9334198,3300114669,,0,0,0,0,0,1216705,0,0,0,195054420,,50569401,0,0,0,3544907289,,0,0,0,0,0
Tue May 18 10:32:04 GMT-06:00 2010,,72,60,100,11111,,1379502515,40629032,81258064,40629032,2696889142,,2862220807,105299661,210599322,105299661,795724225,,2279089999,9334198,18668396,9334198,3379879965,,0,0,0,0,0,1216715,0,0,0,195056024,,50569591,0,0,0,3544921523,,0,0,0,0,0
Tue May 18 10:35:00 GMT-06:00 2010,,72,60,49,11111,,1387003074,40629032,81258064,40629032,3692841285,,2871945015,105479749,210959498,105479749,2526258441,,2284487845,9334198,18668396,9334198,2870892231,,0,0,0,0,0,1216885,0,0,0,195083292,,50577677,0,0,0,3545528898,,0,0,0,0,0
Tue May 18 10:35:04 GMT-06:00 2010,,72,60,34,11111,,1387188175,40629032,81258064,40629032,3824009642,,2872197558,105479749,210959498,105479749,2697813539,,2284623390,9334198,18668396,9334198,2966147559,,0,0,0,0,0,1216895,0,0,0,195084896,,50577852,0,0,0,3545541698,,0,0,0,0,0
Tue May 18 10:38:00 GMT-06:00 2010,,72,61,35,11111,,1394565615,40629032,81258064,40629032,446450060,,2881637532,105635789,211271578,105635789,4094951668,,2290188598,9334198,18668396,9334198,2604894130,,0,0,0,0,0,1217075,0,0,0,195113768,,50586005,0,0,0,3546155044,,0,0,0,0,0
